stress_r:0,stress_r:1,stress_r:2,stress_tt,stress_zz,Cell Type,Cell ID,Block Number
-60.8702,9.50129,0,-12.0367,-19.0646,9,0,2
-29.0908,9.00927,0,-6.78479,-14.424,9,1,2
0.653155,7.87694,0,-1.83204,-9.14001,9,2,2
29.8151,6.61557,0,2.95565,-3.95678,9,3,2
59.8853,5.13267,0,7.74372,0.429571,9,4,2
-35.4058,2.98066,0,7.49554,4.93283,9,5,2
-18.7101,7.47544,0,3.60627,2.81518,9,6,2
-0.500317,9.33674,0,0.302046,1.07568,9,7,2
18.23,8.59395,0,-2.7938,-0.406005,9,8,2
36.6681,5.27342,0,-6.01747,-1.76453,9,9,2
-16.3722,4.79188,0,17.5913,-1.1696,9,10,2
-7.77435,6.69523,0,8.93346,-0.749052,9,11,2
0.277531,7.28187,0,0.0805051,-0.804519,9,12,2
8.14478,6.40052,0,-8.87023,-1.04121,9,13,2
16.0137,4.01697,0,-17.8757,-1.1949,9,14,2
1.90413,3.26388,0,28.895,0.371408,9,15,2
0.815301,5.7129,0,14.3656,-0.217783,9,16,2
-0.00480258,6.50769,0,0.0305111,-0.654781,9,17,2
-0.782255,5.75545,0,-14.2724,-1.01226,9,18,2
-1.6389,3.47562,0,-28.6662,-1.32219,9,19,2
17.4442,2.75981,0,38.7157,-0.0171747,9,20,2
8.76359,4.70132,0,19.3679,-0.2339,9,21,2
0.0723053,5.37002,0,0.0698429,-0.590987,9,22,2
-8.62307,4.70733,0,-19.236,-0.974483,9,23,2
-17.366,2.71075,0,-38.6287,-1.30034,9,24,2
31.1851,1.90247,0,48.144,0.0611473,9,25,2
15.6087,3.79033,0,24.05,-0.25447,9,26,2
0.0564409,4.40409,0,0.0549497,-0.632224,9,27,2
-15.4982,3.78266,0,-23.9391,-1.00321,9,28,2
-31.0601,1.91201,0,-48.0198,-1.28145,9,29,2
43.5463,1.1302,0,57.7463,0.143656,9,30,2
21.7441,2.83466,0,28.814,-0.259583,9,31,2
0.0581068,3.42065,0,0.0590767,-0.616948,9,32,2
-21.6259,2.83857,0,-28.6955,-0.975398,9,33,2
-43.4308,1.12878,0,-57.6314,-1.39045,9,34,2
56.2386,-0.657653,0,69.2424,-0.569373,9,35,2
28.4988,2.42698,0,34.5412,-0.49601,9,36,2
0.0586857,3.43395,0,0.0582877,-0.621398,9,37,2
-28.3825,2.42533,0,-34.425,-0.746899,9,38,2
-56.1219,-0.657557,0,-69.1253,-0.669931,9,39,2
85.4047,-1.63797,0,85.4047,2.40403,9,40,2
42.136,1.73689,0,42.136,1.14005,9,41,2
0.0582006,2.78865,0,0.0582006,-0.620266,9,42,2
-42.0191,1.73795,0,-42.0191,-2.38038,9,43,2
-85.2879,-1.63792,0,-85.2879,-3.64562,9,44,2
-37.1935,-16.5264,0,-4.55867,9.10362,9,0,3
-15.8775,-21.7657,0,-0.679484,6.87702,9,1,3
1.04173,-22.8329,0,1.70627,4.10472,9,2,3
16.7962,-20.1942,0,3.71986,1.30504,9,3,3
34.1764,-13.7689,0,6.35583,-1.03033,9,4,3
